giorno;ora;minuti;secondi;msec;Amperom;Voltom
5;14;57;45;407;1.32503093E-11;0.0012699302400000002
5;14;57;46;615;-8.09129624E-12;0.00124191528
5;14;57;48;661;-4.16110648E-11;0.0010388616900000001
5;14;57;50;542;3.04580726E-12;0.000978759222
5;14;57;52;675;7.17552767E-11;0.00090087821
5;14;57;54;706;1.02443621E-10;0.00090329129500000009
5;14;57;56;737;5.0355872899999994E-11;0.00077128421
5;14;57;58;597;-1.0579292700000001E-10;0.000790179635
5;14;58;0;721;-7.1523392899999993E-11;0.00088235652400000012
5;14;58;2;721;-9.4594110600000008E-11;0.00088959013500000011
5;14;58;4;721;-1.5982348E-10;0.00080328830100000008
5;14;58;6;596;-8.8066130699999992E-11;0.000880714124
5;14;58;8;722;8.5018987799999993E-10;0.000988073728
5;14;58;10;719;1.46770744E-11;0.00095808648299999994
5;14;58;12;741;-6.7107467399999993E-11;0.000951800589
5;14;58;14;640;-4.71660766E-10;0.00091605223299999993
5;14;58;16;800;-7.88082767E-12;0.000876251973
5;14;58;18;788;-2.7248311699999998E-11;0.00088289537800000008
5;14;58;20;780;-1.93597238E-10;0.00076061953600000006
5;14;58;22;685;-1.41869405E-10;0.000618721541
5;14;58;24;820;-3.8559961299999994E-11;0.00060105977900000006
5;14;58;26;841;-4.91024336E-10;0.00064426112
5;14;58;28;819;3.6305368499999994E-11;0.000702238191
5;14;58;30;680;9.520225879999999E-11;0.000712167186
5;14;58;32;820;9.5542140199999989E-11;0.00072455085
5;14;58;34;820;-2.84723453E-10;0.000871280967
5;14;58;36;819;6.11763525E-11;0.00079807655000000007
5;14;58;38;722;8.1798588399999991E-11;0.0007897861930000001
5;14;58;40;817;-1.0726068E-11;0.00096098253600000012
5;14;58;42;839;-4.8104941500000009E-10;0.000995520995
5;14;58;44;839;3.5483666E-10;0.000905453652
5;14;58;46;757;1.0883762900000001E-09;0.000991038075
5;14;58;48;811;-1.0055816399999998E-06;0.000996291217
5;14;58;50;852;-1.0400346600000002E-06;0.0011250989300000001
5;14;58;52;878;1.62306479E-09;0.00129409628
5;14;58;54;798;-2.63489845E-10;0.00139036927
5;14;58;56;758;1.28182961E-10;0.00134624466
5;14;58;58;859;-2.8797811699999997E-11;0.00143575078
5;14;59;0;859;-4.47975683E-11;0.00155560696
5;14;59;2;812;-1.26594314E-11;0.0014088066800000002
5;14;59;4;749;-1.07665959E-10;0.00138149578
5;14;59;6;921;2.8457469799999998E-11;0.00145052995
5;14;59;8;890;4.16110648E-11;0.00148265057
5;14;59;10;858;-4.18841674E-12;0.00142839143
5;14;59;12;780;3.80273883E-10;0.00147959601
5;14;59;14;898;-3.4670667899999996E-11;0.00145286515
5;14;59;16;917;-9.8245302799999986E-11;0.00113372979
5;14;59;18;917;-1.0754713899999999E-10;0.00104648997
5;14;59;20;816;1.96338856E-10;0.00110949253
5;14;59;22;941;-1.1372809900000001E-10;0.00134999562
5;14;59;24;961;1.4915636100000002E-10;0.00141353974
5;14;59;26;953;-8.39781125E-11;0.00144045894
5;14;59;28;836;-1.80528614E-11;0.00147542897
5;14;59;30;999;-4.07466239E-11;0.00146968983
5;14;59;32;957;-3.03701317E-10;0.0015071840299999998
5;14;59;34;956;6.0523531399999991E-11;0.00141454475
5;14;59;36;836;-2.1929029299999997E-11;0.00137791144
5;14;59;38;947;7.55285131E-11;0.0014353991800000001
5;14;59;40;970;-4.4935731399999994E-11;0.00135678487
5;14;59;42;960;-2.91915307E-10;0.00129574879
5;14;59;44;846;-7.13605906E-11;0.00141091087
5;14;59;47;0;3.3729316100000004E-10;0.0013365522
5;14;59;48;973;-4.52505132E-11;0.0012185520400000002
5;14;59;50;975;-3.4934559499999995E-11;0.000977440789
5;14;59;52;859;-3.65096198E-12;0.00102249503
5;14;59;54;972;-1.84084013E-11;0.00119152122
5;14;59;56;976;-2.54427492E-10;0.00117163801
5;14;59;58;994;-2.0393852200000003E-10;0.00114135893
5;15;0;0;876;-4.83603361E-11;0.00103414319
5;15;0;3;32;-2.72476439E-10;0.00100088573
5;15;0;5;16;-4.16633366E-11;0.00100265422
5;15;0;7;32;1.1576278200000001E-10;0.00107335026
5;15;0;8;891;-9.81695434E-12;0.0010541364600000001
5;15;0;11;16;4.5391439699999992E-11;0.0010476671799999999
5;15;0;13;32;-6.87269701E-12;0.0010712267
5;15;0;15;79;9.84348166E-11;0.0010215513700000001
5;15;0;16;938;5.45912651E-11;0.000999627314
5;15;0;19;79;-2.3621298E-12;0.000969264989
5;15;0;21;98;6.43711457E-11;0.0010250718
5;15;0;23;54;-2.0561213899999998E-11;0.00107253695
5;15;0;24;961;1.5686057E-10;0.00108033743
5;15;0;27;33;-5.6105994099999992E-11;0.0010302144099999999
5;15;0;29;68;-7.79217296E-12;0.0010068605399999998
5;15;0;31;99;1.5491293E-10;0.000972284526
5;15;0;32;986;-8.1060566799999994E-11;0.00104968941
5;15;0;35;33;-1.41068289E-10;0.00106811292
5;15;0;37;140;-1.70873771E-10;0.0010467680399999998
5;15;0;39;93;2.29527264E-10;0.00097456854800000007
5;15;0;41;53;4.5326618099999996E-10;0.00102103056
5;15;0;42;987;3.48463654E-11;0.00102579306
5;15;0;45;86;-9.43404385E-07;0.00097010222000000013
5;15;0;47;98;-9.7828252E-07;0.000965499318
5;15;0;49;32;-9.92880814E-07;0.00096428963000000009
5;15;0;50;972;-9.2146509299999989E-07;0.00093303965400000008
5;15;0;53;84;-9.38702244E-07;0.000947019236
5;15;0;55;114;-9.57560967E-07;0.00096422747700000006
5;15;0;57;85;-9.1685701099999987E-07;0.000917273355
5;15;0;59;14;-9.79770584E-07;0.00096225788800000014
5;15;1;1;119;-9.6355622499999989E-07;0.000936875574
5;15;1;3;115;-8.9835376599999994E-07;0.000882871436
5;15;1;5;134;-8.912271949999999E-07;0.000891008121
5;15;1;7;12;-8.9612133000000007E-07;0.00090790648
5;15;1;9;124;-9.70997976E-07;0.000988510852
5;15;1;11;129;-9.27717578E-07;0.000924283942
5;15;1;13;144;-9.30220397E-07;0.00092625434700000008
5;15;1;15;3;-9.0045392999999985E-07;0.000899037456
5;15;1;17;145;-9.17432061E-07;0.000959081891
5;15;1;19;145;-1.0180239E-06;0.00101086532
5;15;1;21;207;-1.02813371E-06;0.0010170289100000002
5;15;1;23;67;-1.0157116799999999E-06;0.00104384309
5;15;1;25;217;-1.0055233299999999E-06;0.000996213525
5;15;1;27;251;-9.2375615799999994E-07;0.000929584487
5;15;1;29;232;-8.91569503E-07;0.00090741121400000012
5;15;1;31;110;5.4901855900000009E-10;0.000904401927
5;15;1;33;232;-5.18204026E-12;0.000910426283
5;15;1;35;231;5.15187463E-12;0.000883293556
5;15;1;37;250;-1.48781018E-11;0.00092314099500000006
5;15;1;39;104;-2.6634867199999998E-11;0.000909498269
5;15;1;41;235;-6.02170395E-11;0.00089124769300000012
5;15;1;43;270;2.46943653E-12;0.00086910312199999992
5;15;1;45;250;-2.8001991799999997E-11;0.000808086142
5;15;1;47;135;-5.63411018E-11;0.00079108310100000007
5;15;1;49;249;5.1159522099999992E-12;0.000755593062
5;15;1;51;290;-4.46778268E-11;0.000751929527
5;15;1;53;289;-3.78889488E-11;0.000675853353
5;15;1;55;166;1.98400021E-11;0.00060444962300000007
5;15;1;57;303;-2.03553507E-11;0.000502190045
5;15;1;59;311;-1.4424005499999998E-11;0.00049425790100000009
5;15;2;1;329;-2.1686092399999998E-11;0.000479304142
5;15;2;3;218;-3.26850327E-11;0.00047885234499999997
5;15;2;5;343;-8.90922226E-12;0.000476132387
5;15;2;7;342;-9.4941130400000011E-13;0.000452463401
5;15;2;9;348;-6.29602694E-11;0.000428802232
5;15;2;11;228;1.72162833E-11;0.00041928820100000004
5;15;2;13;315;-1.00787045E-10;0.000420710129
5;15;2;15;346;8.87168793E-12;0.00042829709100000008
5;15;2;17;348;-3.14751838E-11;0.00043776006
5;15;2;19;255;-1.49911653E-11;0.00044398658600000004
5;15;2;21;288;1.59790321E-11;0.00045875701400000006
5;15;2;23;351;2.26057986E-12;0.00045283059600000004
5;15;2;25;366;1.6796037E-12;0.00045421347699999996
5;15;2;27;272;-8.34943111E-12;0.00045631596600000004
5;15;2;29;304;-9.4607236100000011E-12;0.00046113383800000003
5;15;2;31;401;-7.5708816099999991E-12;0.000465269306
5;15;2;33;427;1.9597756E-11;0.000468761619
5;15;2;35;332;-1.1783246599999999E-11;0.000472207386
5;15;2;37;312;2.0572036599999996E-11;0.000478226351
5;15;2;39;402;-1.11538673E-10;0.00048606757600000005
5;15;2;41;387;3.2971491E-11;0.000493245967
5;15;2;43;389;-2.4649462299999997E-11;0.00050129186600000007
5;15;2;45;288;3.21733684E-11;0.00050544413500000008
5;15;2;47;382;-9.22078022E-12;0.000511150475
5;15;2;49;446;-2.94570803E-11;0.000516719469
5;15;2;51;402;9.4217615899999983E-11;0.000524542676
5;15;2;53;343;-6.80614842E-11;0.000528762332
5;15;2;55;447;1.2640779399999999E-11;0.00053938929499999994
5;15;2;57;446;-1.96636138E-11;0.0005321744790000001
5;15;2;59;486;-2.38354509E-11;0.00053456439400000012
5;15;3;1;350;-2.45778477E-11;0.000539462239
5;15;3;3;466;-1.03624686E-11;0.00054193485200000006
5;15;3;5;491;2.2112556099999997E-11;0.00054530285000000008
5;15;3;7;484;-6.2571800599999991E-12;0.000546189613
5;15;3;9;361;8.35783604E-11;0.0005487441890000001
5;15;3;11;491;3.5016306099999996E-11;0.000553747489
5;15;3;13;506;5.27500105E-11;0.000554725878
5;15;3;15;508;-4.8032198499999994E-11;0.000558387809
5;15;3;17;402;-8.46686981E-12;0.00056239466
5;15;3;19;521;-1.30840529E-11;0.000565465229
5;15;3;21;521;-3.69070001E-10;0.000567672718
5;15;3;23;521;-1.0300645200000001E-09;0.000570570393
5;15;3;25;411;-7.19299841E-10;0.00060772383
5;15;3;27;536;6.0132230299999993E-06;0.000821714619
5;15;3;29;567;6.01067095E-06;0.000817349553
5;15;3;31;567;6.01321506E-06;0.00081650027900000014
5;15;3;33;442;6.62209704E-05;0.00324499326
5;15;3;35;586;6.6244843500000016E-05;0.00320706728
5;15;3;37;605;6.6351509400000008E-05;0.00316943638
5;15;3;39;604;6.63278577E-05;0.0031308597699999997
5;15;3;41;480;6.6386504700000011E-05;0.00310180418
5;15;3;43;599;6.63946826E-05;0.0030724639
5;15;3;45;599;6.64111942E-05;0.00304727258
5;15;3;47;615;6.64209468E-05;0.0030208451
5;15;3;49;485;6.6475761000000012E-05;0.00300090937
5;15;3;51;623;6.64940763E-05;0.00297892987
5;15;3;53;599;6.6516565900000008E-05;0.00295940447
5;15;3;55;626;6.65327905E-05;0.0029395916
5;15;3;57;523;6.6557556000000008E-05;0.0029219819
5;15;3;59;649;6.6580935800000007E-05;0.00290415677
5;15;4;1;663;6.6586982600000012E-05;0.00288804849
5;15;4;3;662;6.6609199700000011E-05;0.00287418262
5;15;4;5;546;6.66297641E-05;0.00285977085
5;15;4;7;642;6.6650844500000007E-05;0.00283961432
5;15;4;9;707;6.6041470100000011E-05;0.00226754576
5;15;4;11;689;1.6036845500000003E-05;0.0005372898270000001
5;15;4;13;595;5.14235279E-06;0.000370829834
5;15;4;15;637;4.85706639E-06;-0.00034054124200000004
5;15;4;17;703;-1.48528106E-05;-0.00038148238300000003
5;15;4;19;705;-1.58014546E-05;-0.000370578427
5;15;4;21;637;-1.59958659E-05;-0.000351160947
5;15;4;23;611;-1.61568589E-05;-0.000333287968
5;15;4;25;736;-1.6237032300000003E-05;-0.00030909047100000005
5;15;4;27;736;-1.62868347E-05;-0.000288747761
5;15;4;29;674;-1.53217934E-05;-0.00023063864500000002
5;15;4;31;658;-1.53650728E-05;-0.00021489603200000002
5;15;4;33;879;4.4118014600000008E-05;0.00305223224
5;15;4;35;754;6.6452049700000009E-05;0.0030404227000000003
5;15;4;37;722;6.64874875E-05;0.00300046155
5;15;4;39;675;6.652276E-05;0.00296822359
5;15;4;41;803;6.65503745E-05;0.00293727838
5;15;4;43;881;6.6580603E-05;0.0029077117800000002
5;15;4;45;779;6.6610402400000014E-05;0.00288513875
5;15;4;47;732;6.66284694E-05;0.0028664020200000005
5;15;4;49;820;6.66484219E-05;0.00284691416
5;15;4;51;837;6.66691219E-05;0.00282916979
5;15;4;53;822;6.6688349000000011E-05;0.00281282159
5;15;4;55;700;6.67003291E-05;0.00279574545
5;15;4;57;820;6.67155496E-05;0.0027811679
5;15;4;59;814;6.6721783200000012E-05;0.0027686557299999998
5;15;5;1;839;6.674273150000001E-05;0.0027545183400000004
5;15;5;3;743;6.67491455E-05;0.00274504187
5;15;5;5;860;6.676006570000001E-05;0.00272983409
5;15;5;7;880;6.6768627200000007E-05;0.00271659002
5;15;5;9;864;6.6790648800000015E-05;0.00270609916
5;15;5;11;764;6.68004457E-05;0.0026973029
5;15;5;13;919;6.6806232600000008E-05;0.00268570721
